event,round,name,scores
2008 Gold Coast,round_1,Bobby Martinez,"[7.33, 4.07, 2.87, 4.67, 5.6]"
2008 Gold Coast,round_1,Royden Bryson,"[5.17, 0.43, 5.5, 2.73, 4.57]"
2008 Gold Coast,round_1,Jihad Khodr,"[2.17, 6.5, 3.33, 0.3, 1.0, 0.57, 3.83]"
2008 Gold Coast,round_1,Dean Morrison,"[9.0, 4.33, 1.17, 5.0, 6.17]"
2008 Gold Coast,round_1,Kieren Perrow,"[5.5, 0.5, 4.67, 7.5, 0.87]"
2008 Gold Coast,round_1,Daniel Wills,"[3.33, 0.67, 0.37, 2.0, 1.77, 3.53, 4.9, 4.2]"
2008 Gold Coast,round_1,Bruce Irons,"[0.83, 1.2, 0.37, 6.17, 0.9, 7.83, 1.33]"
2008 Gold Coast,round_1,Jeremy Flores,"[0.5, 6.67, 1.1, 2.17, 0.3, 4.07, 0.67, 5.17]"
2008 Gold Coast,round_1,Roy Powers,"[4.0, 1.87, 1.4, 3.63, 2.8, 1.5]"
2008 Gold Coast,round_1,Heitor Alves,"[1.1, 2.27, 1.5, 2.93, 7.67, 1.6, 8.17, 1.67]"
2008 Gold Coast,round_1,Pancho Sullivan,"[1.0, 2.83, 4.67, 4.5, 2.3, 1.77, 0.5, 8.4, 0.3, 5.0]"
2008 Gold Coast,round_1,Ricky Basnett,"[1.2, 1.33, 1.83, 6.5, 1.1, 3.1, 0.27, 1.0, 0.77, 1.27, 2.17]"
2008 Gold Coast,round_1,Mikael Picon,"[7.0, 5.5, 0.2, 3.9, 1.87, 0.77, 2.93]"
2008 Gold Coast,round_1,Andy Irons,"[0.43, 2.83, 3.83, 0.37, 1.5, 1.1, 0.4, 1.43, 0.47, 0.8, 7.67]"
2008 Gold Coast,round_1,Freddy Patacchia Jr.,[]
2008 Gold Coast,round_1,Bede Durbidge,"[2.0, 1.0, 6.17, 0.37, 1.13, 0.23, 8.0, 8.83, 1.0, 2.2]"
2008 Gold Coast,round_1,Leonardo Neves,"[5.17, 1.0, 1.67, 6.33, 3.37, 3.47, 0.5, 1.67, 8.23]"
2008 Gold Coast,round_1,Daniel Ross,"[3.67, 0.5, 3.5, 0.3, 5.9, 0.23, 1.07, 4.13, 0.37, 2.87, 2.6]"
2008 Gold Coast,round_1,Joel Parkinson,"[7.33, 0.5, 4.83, 7.77, 6.43, 3.93, 0.9]"
2008 Gold Coast,round_1,Neco Padaratz,"[2.17, 6.33, 1.93, 7.67, 0.5, 3.83, 1.97, 5.23, 2.43, 2.43, 0.73, 3.6]"
2008 Gold Coast,round_1,Nic Muscroft,"[5.67, 0.5, 0.3, 5.83, 1.5, 2.73, 0.3, 6.97]"
2008 Gold Coast,round_1,Mick Fanning,"[2.0, 5.83, 1.83, 6.27, 3.57, 3.43, 6.57, 8.67, 0.37, 2.13, 3.8]"
2008 Gold Coast,round_1,Mick Campbell,"[2.33, 0.77, 3.17, 4.5, 0.23, 1.97, 6.33, 3.57, 2.17, 4.1, 4.37]"
2008 Gold Coast,round_1,Tamaroa McComb,"[0.57, 1.07, 2.3, 0.93, 4.6, 1.57, 4.8, 1.0, 1.93, 2.73, 1.73, 2.33]"
2008 Gold Coast,round_1,Taj Burrow,"[1.5, 0.93, 2.07, 7.67, 8.83, 6.9]"
2008 Gold Coast,round_1,Adrian Buchan,"[4.0, 2.1, 2.93, 4.43, 1.0, 7.17, 8.93, 2.0]"
2008 Gold Coast,round_1,Julian Wilson,"[6.17, 1.87, 1.0, 4.27, 0.83, 4.33, 3.27]"
2008 Gold Coast,round_1,Kelly Slater,"[4.0, 3.0, 3.4, 4.83, 6.27, 2.0, 3.27, 7.07, 7.1]"
2008 Gold Coast,round_1,Rodrigo Dornelles,"[2.17, 0.5, 7.5, 4.07, 0.23, 1.0, 1.97, 6.1, 0.93, 4.6]"
2008 Gold Coast,round_1,Michel Bourez,"[1.77, 1.0, 0.87, 5.33, 5.17, 5.03, 2.43, 2.37, 0.43, 7.1, 5.37]"
