event,round,name,scores
2008 Pipeline,round_1,Kamalei Alexander,"[8.83, 6.83, 1.5]"
2008 Pipeline,round_1,Daniel Ross,"[9.93, 1.23]"
2008 Pipeline,round_1,Jesse Merle-Jones,"[2.83, 0.2, 1.57, 7.17]"
2008 Pipeline,round_1,Tj Barron,"[3.5, 1.83, 2.77, 0.27, 2.9, 1.8, 4.83, 0.5]"
2008 Pipeline,round_1,Ezra Sitt,"[1.33, 7.5, 3.83]"
2008 Pipeline,round_1,Daniel Jones,"[1.17, 5.67, 1.67, 1.63, 2.83, 1.4, 1.97]"
2008 Pipeline,round_1,Tory Barron,"[4.33, 6.17, 0.9, 7.67, 5.67, 1.5, 3.43, 1.33]"
2008 Pipeline,round_1,Royden Bryson,"[0.6, 3.33, 2.5, 1.6, 4.67, 6.17, 2.1, 4.43, 0.73]"
2008 Pipeline,round_1,Aritz Aranburu,"[1.33, 9.33, 3.27, 5.67, 4.33]"
2008 Pipeline,round_1,Kalani Chapman,"[4.17, 0.77, 4.27, 1.0, 7.33]"
2008 Pipeline,round_1,Dave Wassel,"[9.67, 3.67, 1.93]"
2008 Pipeline,round_1,Ricky Basnett,"[3.17, 0.83, 6.0]"
2008 Pipeline,round_1,Evan Valiere,"[1.83, 3.67, 2.57, 6.0, 1.97, 1.77, 6.57]"
2008 Pipeline,round_1,Olamana Eleogram,"[0.27, 7.67, 0.33, 4.67, 0.83]"
2008 Pipeline,round_1,John John Florence,"[0.93, 7.33, 8.17, 1.73, 0.93, 9.73, 5.83, 0.87, 2.0, 3.83, 0.57]"
2008 Pipeline,round_1,Jay Thompson,"[1.33, 6.67, 1.0, 1.23, 7.73, 2.6, 1.13, 0.23, 0.67]"
2008 Pipeline,round_1,Torrey Meister,"[6.67, 6.17, 0.37, 1.17, 1.17, 6.67, 1.9, 0.27, 9.67]"
2008 Pipeline,round_1,Rodrigo Dornelles,"[5.33, 3.17, 1.33, 1.2]"
2008 Pipeline,round_1,Jamie O'Brien,"[2.17, 5.0, 6.67, 4.57, 7.83, 1.3, 1.6]"
2008 Pipeline,round_1,Dustin Barca,"[5.17, 1.07, 6.33, 1.27]"
2008 Pipeline,round_1,Mark Healey,"[2.0, 2.5, 4.17, 4.67, 1.47, 6.5]"
2008 Pipeline,round_1,Jihad Khodr,"[1.0, 0.93, 4.5, 3.23]"
2008 Pipeline,round_1,Dusty Payne,"[8.83, 8.77, 3.83, 5.17, 4.83]"
2008 Pipeline,round_1,Manoa Drollet,"[0.5, 4.17, 1.17, 2.83, 4.67, 6.33]"
2008 Pipeline,round_1,Daniel Wills,"[7.17, 3.0, 2.07, 8.33, 3.1, 7.27, 2.57]"
2008 Pipeline,round_1,Laurie Towner,"[3.17, 1.5, 4.67, 8.0, 2.5, 0.23]"
2008 Pipeline,round_1,Makuakai Rothman,"[5.67, 2.23, 1.77, 8.33, 8.23]"
2008 Pipeline,round_1,Teale Vanner,"[8.33, 8.23]"
2008 Pipeline,round_1,Shane Dorian,"[2.43, 8.93, 7.5, 0.97]"
2008 Pipeline,round_1,Gregoire Sylvain,"[8.93, 7.5]"
2008 Pipeline,round_1,Marcus Hickman,"[1.5, 6.33, 1.9, 1.47, 2.07, 1.27, 6.03, 1.57]"
2008 Pipeline,round_1,Mark Occhilupo,"[3.17, 3.17, 4.17, 3.3, 4.67, 4.0, 3.23, 4.37, 6.77]"
2008 Pipeline,round_2,Bede Durbidge,"[6.0, 0.63, 3.67, 2.67, 9.0, 5.1]"
2008 Pipeline,round_2,Reubyn Ash,"[0.67, 2.5, 0.57, 1.27, 4.0, 2.2, 2.93, 0.6]"
2008 Pipeline,round_2,Adriano de Souza,"[3.17, 2.6, 5.0, 2.97, 0.17, 7.83, 3.23]"
2008 Pipeline,round_2,Marcos Segundo,"[5.0, 1.0, 3.33, 0.67, 4.07, 0.2, 4.27, 2.0, 0.17, 1.3]"
2008 Pipeline,round_2,C.J. Hobgood,"[3.67, 0.3, 1.43, 0.23, 6.5, 1.93, 0.33, 6.17, 1.07, 0.7]"
2008 Pipeline,round_2,Alejandro Satt,"[3.33, 8.17]"
2008 Pipeline,round_2,Adrian Buchan,"[0.5, 3.33, 4.33, 0.5, 6.83, 0.57, 1.6, 1.73, 6.0, 0.33]"
2008 Pipeline,round_2,Hodei Collazo,"[5.83, 1.0, 1.9, 0.9, 1.17, 1.07, 2.0]"
2008 Pipeline,round_2,Jeremy Flores,"[2.33, 5.5, 2.0, 0.9, 6.67, 4.43, 5.23, 0.5]"
2008 Pipeline,round_2,Mark Occhilupo,"[1.87, 1.37, 1.0, 0.63, 1.03, 1.37, 1.43, 0.27]"
2008 Pipeline,round_2,Kai Otton,"[1.0, 1.83, 2.43, 2.33, 4.0, 5.67, 4.3, 4.27, 0.47]"
2008 Pipeline,round_2,Manoa Drollet,"[4.17, 1.8, 0.93, 0.83]"
2008 Pipeline,round_2,Luke Stedman,"[5.67, 3.17, 1.93, 2.37, 0.57]"
2008 Pipeline,round_2,Ricky Basnett,"[4.0, 2.33, 1.5, 1.0, 1.87, 0.87, 1.53]"
2008 Pipeline,round_2,Aritz Aranburu,"[7.0, 0.6, 6.5, 0.57, 0.37, 1.67, 2.27, 2.23]"
2008 Pipeline,round_2,Chris Ward,"[3.83, 5.33, 2.33, 3.93, 1.77, 1.0, 0.5, 0.23, 1.0, 7.03, 1.73, 1.6]"
2008 Pipeline,round_2,Leonardo Neves,"[2.0, 3.0, 1.73, 2.43, 3.67, 7.83]"
2008 Pipeline,round_2,Dayyan Neve,"[0.27, 1.6, 1.0, 2.17, 0.17, 6.17, 2.37, 4.0, 1.1, 1.23]"
2008 Pipeline,round_2,Dane Reynolds,"[3.33, 7.0, 0.27, 0.87, 0.3, 6.17, 0.87, 2.67, 1.17, 6.6, 5.0, 1.73]"
2008 Pipeline,round_2,Travis Logie,"[1.4, 0.83, 0.63, 1.23, 4.0, 4.83, 4.43, 1.77, 1.8]"
2008 Pipeline,round_2,Freddy Patacchia Jr.,"[1.17, 1.3, 9.5, 7.33, 6.5, 2.17, 1.17, 2.77]"
2008 Pipeline,round_2,Taylor Knox,[]
2008 Pipeline,round_2,Luke Munro,"[1.33, 0.83, 6.5, 1.03, 0.4, 6.43, 1.5, 1.83, 2.93, 1.63, 1.03, 5.0]"
2008 Pipeline,round_2,Royden Bryson,"[1.07, 1.03, 1.1, 0.7, 3.83, 1.13, 2.1, 0.27, 1.7, 2.33, 1.7, 1.3, 1.93, 3.33]"
2008 Pipeline,round_2,Damien Hobgood,"[3.5, 0.77, 0.47, 4.43, 0.37, 9.37, 10.0, 8.17, 1.23, 2.23, 6.33]"
2008 Pipeline,round_2,Tim Reyes,"[4.0, 6.67, 0.9, 4.27, 8.83, 0.47, 8.43, 0.43, 0.6, 7.5, 0.8, 1.2, 2.13]"
2008 Pipeline,round_2,Rodrigo Dornelles,"[3.33, 6.5, 5.77, 6.5, 1.77, 4.17, 1.43, 1.1, 1.9, 0.9]"
2008 Pipeline,round_2,Jordy Smith,"[1.33, 0.67, 4.83, 3.23, 1.67, 0.57, 1.73, 2.07, 6.7, 4.43]"
