,Lot Shape,Land Contour,Lot Config,Neighborhood,Bldg Type,Year Built,Year Remod/Add,Exter Qual,Exter Cond,Overall Qual,Overall Cond,Gr Liv Area,Kitchen Qual,Garage Area,Garage Qual,Garage Cond,Sale Type,SalePrice
0,IR1,Lvl,CulDSac,Sawyer,1Fam,1976,2005,Gd,TA,6,8,1479,Gd,475.0,TA,TA,WD ,130500
1,IR1,Lvl,CulDSac,SawyerW,1Fam,1996,1997,Gd,TA,7,5,2122,Gd,559.0,TA,TA,WD ,220000
2,Reg,Lvl,Inside,NAmes,1Fam,1953,2007,TA,Gd,5,7,1057,Gd,246.0,TA,TA,WD ,109000
3,Reg,Lvl,Inside,Timber,1Fam,2006,2007,TA,TA,5,5,1444,TA,400.0,TA,TA,WD ,174000
4,IR1,Lvl,Inside,SawyerW,1Fam,1900,1993,TA,TA,6,8,1445,TA,484.0,TA,TA,WD ,138500
5,IR1,Lvl,Corner,NAmes,1Fam,1966,2002,Gd,TA,6,6,1888,Gd,578.0,TA,TA,WD ,190000
6,Reg,Lvl,Inside,Edwards,TwnhsE,2005,2006,TA,TA,6,5,1072,TA,525.0,TA,TA,New,140000
7,IR1,Lvl,Inside,NAmes,1Fam,1959,1959,TA,TA,5,5,1188,TA,531.0,TA,TA,COD,142000
8,Reg,Lvl,Inside,OldTown,1Fam,1952,1952,TA,TA,5,5,924,TA,420.0,TA,TA,WD ,112500
9,IR1,HLS,Inside,NAmes,1Fam,1969,1969,TA,TA,5,5,2080,Fa,504.0,TA,TA,WD ,135000
10,Reg,Lvl,Inside,BrDale,Twnhs,1971,1971,TA,TA,6,5,987,TA,264.0,TA,TA,COD,85400
11,IR1,Lvl,Inside,CollgCr,1Fam,2005,2005,Gd,TA,7,5,1208,Gd,632.0,TA,TA,WD ,183600
12,Reg,Bnk,FR2,SawyerW,1Fam,1880,2007,Gd,TA,5,7,2016,TA,576.0,TA,TA,WD ,131000
13,Reg,Lvl,Inside,Somerst,Twnhs,1999,2000,Gd,TA,8,5,1607,Gd,480.0,TA,TA,ConLD,200000
14,Reg,Lvl,Inside,CollgCr,1Fam,2007,2007,Gd,TA,7,5,1361,Gd,610.0,TA,TA,WD ,193000
15,Reg,Lvl,Inside,Mitchel,1Fam,2004,2005,TA,TA,5,5,1430,Gd,624.0,TA,TA,WD ,173500
16,Reg,Lvl,Inside,OldTown,1Fam,1916,1950,TA,TA,5,5,1344,TA,513.0,Fa,Fa,COD,98000
17,Reg,Lvl,Corner,Sawyer,1Fam,1963,1963,TA,TA,5,6,1121,TA,480.0,TA,TA,WD ,139000
18,Reg,Lvl,Inside,Sawyer,1Fam,1977,1977,TA,TA,6,5,1285,TA,528.0,TA,TA,WD ,143500
19,Reg,Lvl,Inside,Somerst,1Fam,2009,2009,TA,TA,7,5,1547,Gd,614.0,TA,TA,Con,215200
20,Reg,Lvl,Inside,Sawyer,1Fam,1968,1968,TA,TA,5,5,894,TA,450.0,TA,TA,WD ,129000
21,IR1,Lvl,Inside,StoneBr,TwnhsE,2000,2000,Gd,TA,8,5,1659,Ex,499.0,TA,TA,WD ,278000
22,IR1,Lvl,Corner,NridgHt,1Fam,2005,2006,Gd,TA,8,5,2253,Ex,575.0,TA,TA,New,344133
23,IR1,Lvl,Inside,Gilbert,1Fam,1992,2007,TA,Gd,6,7,1187,TA,420.0,TA,TA,WD ,185000
24,Reg,Bnk,Inside,Gilbert,2fmCon,1955,1955,TA,TA,5,5,1056,TA,572.0,TA,TA,WD ,145000
25,IR1,Lvl,Corner,NAmes,1Fam,1961,1961,TA,TA,6,6,1453,TA,530.0,TA,TA,WD ,187500
26,Reg,Lvl,Inside,Sawyer,1Fam,1965,2009,TA,Gd,5,8,894,TA,336.0,TA,TA,WD ,138500
27,IR1,HLS,Inside,Crawfor,1Fam,1937,1995,TA,TA,5,6,1938,Gd,240.0,TA,TA,WD ,198000
28,Reg,Lvl,Inside,IDOTRR,2fmCon,1895,2006,TA,Gd,5,6,1991,TA,0.0,,,WD ,119600
29,Reg,Lvl,Corner,NAmes,1Fam,1949,2006,TA,Gd,5,7,924,TA,576.0,TA,TA,WD ,122900
30,Reg,Lvl,Inside,NWAmes,1Fam,1981,1981,Gd,TA,8,5,2524,Gd,542.0,TA,TA,WD ,278000
31,IR1,HLS,Corner,Crawfor,1Fam,1929,1950,TA,TA,8,7,1517,Gd,400.0,TA,TA,WD ,230000
32,IR1,Lvl,CulDSac,Veenker,TwnhsE,1995,1996,Gd,Gd,8,5,1494,Ex,481.0,TA,TA,WD ,270000
33,Reg,Lvl,Inside,NAmes,1Fam,1952,1952,TA,TA,6,6,948,TA,410.0,TA,TA,WD ,125000
34,Reg,Lvl,Inside,CollgCr,1Fam,2007,2008,Gd,TA,8,5,1718,Gd,826.0,TA,TA,WD ,297000
35,IR1,HLS,Inside,NAmes,1Fam,1958,1958,TA,TA,6,6,1142,TA,384.0,TA,TA,WD ,113500
36,Reg,Lvl,Inside,MeadowV,TwnhsE,1977,1977,TA,TA,5,6,1475,TA,336.0,TA,TA,WD ,127000
37,IR1,Lvl,Inside,NWAmes,1Fam,1977,1977,TA,TA,6,6,1844,TA,546.0,TA,TA,COD,190000
38,Reg,Lvl,Inside,NWAmes,1Fam,1973,1973,TA,TA,7,6,1242,TA,528.0,TA,TA,WD ,175500
39,IR2,Lvl,Inside,CollgCr,1Fam,1994,1994,TA,Gd,5,7,990,TA,384.0,TA,TA,WD ,146000
